id,vendor_id,min_product_price_cents,min_product_price_currency,max_product_price_cents,max_product_price_currency,ms_price_name,title_translations
280,162,0,SAR,0,SAR,,"""en""=>""Default price"", ""ar_SA""=>""السعر الافتراضي"""
281,162,0,SAR,0,SAR,,"""en""=>""Discount price"", ""ar_SA""=>""سعر الخصم"""
4,24,,SAR,,SAR,,"""en""=>""Sale price"""
10,27,,SAR,,SAR,,"""en""=>""Sale price"""
14,29,,SAR,,SAR,,"""en""=>""Sale price"""
22,33,,SAR,,SAR,,"""en""=>""Sale price"""
28,36,,SAR,,SAR,,"""en""=>""Sale price"""
32,38,,SAR,,SAR,,"""en""=>""Sale price"""
34,39,,SAR,,SAR,,"""en""=>""Sale price"""
36,40,,SAR,,SAR,,"""en""=>""Sale price"""
3,24,250000,SAR,699000,SAR,,"""en""=>""Default price"""
9,27,120000,SAR,520000,SAR,,"""en""=>""Default price"""
35,40,190000,SAR,290000,SAR,,"""en""=>""Default price"""
31,38,2400,SAR,2400,SAR,,"""en""=>""Default price"""
21,33,60000,SAR,250000,SAR,,"""en""=>""Default price"""
33,39,6900,SAR,45500,SAR,,"""en""=>""Default price"""
27,36,120000,SAR,270000,SAR,,"""en""=>""Default price"""
13,29,289000,SAR,899000,SAR,,"""en""=>""Default price"""
