id,color_hex,position,ms_workflow_state_uuid,vendor_id,archived_at,created_at,updated_at,finite_state,orders_count,convead_key,name_translations
9,#f8ac59,0,,24,,2019-02-28 07:00:07.713347,2019-02-28 07:00:07.713347,new,0,new,"""en""=>""New"""
10,#23c6c8,7864320,,24,,2019-02-28 07:00:07.723463,2019-02-28 07:00:07.78856,in_process,0,,"""en""=>""Active"""
11,#1c84c6,8126464,,24,,2019-02-28 07:00:07.73258,2019-02-28 07:00:07.795225,success,0,shipped,"""en""=>""Done"""
12,#D1DADE,8257536,,24,,2019-02-28 07:00:07.741375,2019-02-28 07:00:07.801247,failure,0,canceled,"""en""=>""Canceled"""
21,#f8ac59,0,,27,,2019-02-28 07:01:40.904041,2019-02-28 07:01:40.904041,new,0,new,"""en""=>""New"""
22,#23c6c8,7864320,,27,,2019-02-28 07:01:40.915238,2019-02-28 07:01:40.951687,in_process,0,,"""en""=>""Active"""
23,#1c84c6,8126464,,27,,2019-02-28 07:01:40.924094,2019-02-28 07:01:40.95966,success,0,shipped,"""en""=>""Done"""
24,#D1DADE,8257536,,27,,2019-02-28 07:01:40.933415,2019-02-28 07:01:40.967355,failure,0,canceled,"""en""=>""Canceled"""
29,#f8ac59,0,,29,,2019-02-28 10:16:19.733096,2019-02-28 10:16:19.733096,new,0,new,"""en""=>""New"""
30,#23c6c8,7864320,,29,,2019-02-28 10:16:19.739114,2019-02-28 10:16:19.77968,in_process,0,,"""en""=>""Active"""
31,#1c84c6,8126464,,29,,2019-02-28 10:16:19.744533,2019-02-28 10:16:19.784724,success,0,shipped,"""en""=>""Done"""
32,#D1DADE,8257536,,29,,2019-02-28 10:16:19.750636,2019-02-28 10:16:19.789639,failure,0,canceled,"""en""=>""Canceled"""
45,#f8ac59,0,,33,,2019-02-28 10:19:40.833242,2019-02-28 10:19:40.833242,new,0,new,"""en""=>""New"""
46,#23c6c8,7864320,,33,,2019-02-28 10:19:40.841578,2019-02-28 10:19:40.870171,in_process,0,,"""en""=>""Active"""
47,#1c84c6,8126464,,33,,2019-02-28 10:19:40.850172,2019-02-28 10:19:40.875793,success,0,shipped,"""en""=>""Done"""
48,#D1DADE,8257536,,33,,2019-02-28 10:19:40.857478,2019-02-28 10:19:40.880996,failure,0,canceled,"""en""=>""Canceled"""
57,#f8ac59,0,,36,,2019-02-28 10:49:58.771179,2019-02-28 10:49:58.771179,new,0,new,"""en""=>""New"""
58,#23c6c8,7864320,,36,,2019-02-28 10:49:58.781512,2019-02-28 10:49:58.921661,in_process,0,,"""en""=>""Active"""
59,#1c84c6,8126464,,36,,2019-02-28 10:49:58.806774,2019-02-28 10:49:58.950422,success,0,shipped,"""en""=>""Done"""
60,#D1DADE,8257536,,36,,2019-02-28 10:49:58.870766,2019-02-28 10:49:58.976016,failure,0,canceled,"""en""=>""Canceled"""
65,#f8ac59,0,,38,,2019-02-28 10:53:52.615656,2019-02-28 10:53:52.615656,new,0,new,"""en""=>""New"""
66,#23c6c8,7864320,,38,,2019-02-28 10:53:52.622562,2019-02-28 10:53:52.668665,in_process,0,,"""en""=>""Active"""
67,#1c84c6,8126464,,38,,2019-02-28 10:53:52.629115,2019-02-28 10:53:52.674362,success,0,shipped,"""en""=>""Done"""
68,#D1DADE,8257536,,38,,2019-02-28 10:53:52.6364,2019-02-28 10:53:52.679964,failure,0,canceled,"""en""=>""Canceled"""
69,#f8ac59,0,,39,,2019-02-28 11:25:04.077238,2019-02-28 11:25:04.077238,new,0,new,"""en""=>""New"""
70,#23c6c8,7864320,,39,,2019-02-28 11:25:04.083287,2019-02-28 11:25:04.123084,in_process,0,,"""en""=>""Active"""
71,#1c84c6,8126464,,39,,2019-02-28 11:25:04.088861,2019-02-28 11:25:04.128426,success,0,shipped,"""en""=>""Done"""
72,#D1DADE,8257536,,39,,2019-02-28 11:25:04.094541,2019-02-28 11:25:04.133482,failure,0,canceled,"""en""=>""Canceled"""
73,#f8ac59,0,,40,,2019-02-28 11:27:42.443096,2019-02-28 11:27:42.443096,new,0,new,"""en""=>""New"""
74,#23c6c8,7864320,,40,,2019-02-28 11:27:42.451262,2019-02-28 11:27:42.509039,in_process,0,,"""en""=>""Active"""
75,#1c84c6,8126464,,40,,2019-02-28 11:27:42.458185,2019-02-28 11:27:42.515292,success,0,shipped,"""en""=>""Done"""
76,#D1DADE,8257536,,40,,2019-02-28 11:27:42.464353,2019-02-28 11:27:42.521898,failure,0,canceled,"""en""=>""Canceled"""
565,#f8ac59,0,,162,,2019-12-11 12:12:57.374302,2019-12-11 12:12:57.374302,new,0,new,"""en""=>""New"", ""ar_SA""=>""جديد"""
566,#23c6c8,7864320,,162,,2019-12-11 12:12:57.385097,2019-12-11 12:12:57.448852,in_process,0,,"""en""=>""Active"", ""ar_SA""=>""نشط"""
567,#1c84c6,8126464,,162,,2019-12-11 12:12:57.394575,2019-12-11 12:12:57.457658,success,0,shipped,"""en""=>""Done"", ""ar_SA""=>""منجز"""
568,#D1DADE,8257536,,162,,2019-12-11 12:12:57.404771,2019-12-11 12:12:57.467902,failure,0,canceled,"""en""=>""Canceled"", ""ar_SA""=>""ملغى"""
